"October 2019 : US Category Changes","","","","","","","","","",""
"","","","","","","","","","",""
"Change Type","Count","","","","","","","","",""
"New","277","","","","","","","","",""
"Retired","197","","","","","","","","",""
"Rename","133","","","","","","","","",""
"Move","50","","","","","","","","",""
"Move & Rename","24","","","","","","","","",""
"Total","681","","","","","","","","",""
"","","","","","","","","","",""
"Category Name","","","","","","","","Category ID","Comments","Actions Required"
"","","","","","PLC Temperature Modules","","","181723","",""
"","","","","","Timer Modules","","","181724","",""
"","","","","","Other PLC Peripheral Modules","","","181725","",""
"","","-","Rotary & Linear Motion","","","","","181736","",""
"","","","","Bearing Blocks & Supports","","","","181737","",""
"","","","","Lead, Ball & Roller Screws","","","","181739","",""
"","","","","Linear Actuator Controls","","","","181740","",""
"","","","","Linear Actuators","","","","55826","",""
"","","","","Linear Bearings & Bushings","","","","181741","",""
"","","","","Linear Encoders","","","","181742","",""
"","","","","Linear Motion System","","","","260296","New Category",""
"","","","","Linear Nuts","","","","260297","New Category",""
"","","","","Linear Rings & Seals","","","","260298","New Category",""
"","","","","Pulse Generators","","","","260299","New Category",""
"","","","","Rail & Shaft Supports","","","","181743","",""
"","","","","Rotary Actuators","","","","181729","",""
"","","","","Rotary Encoders","","","","260300","New Category",""
"","","","","Slides, Rails & Carriages","","","","183548","",""
"","","","","XY & Rotary Positioning Stages","","","","181746","",""
"","","","","Other Rotary & Linear Motion","","","","181747","",""
"","","","Other Automation Equipment","","","","","36802","",""
"","-","Light Equipment & Tools","","","","","","61573","",""
"","","+","Air Tools","","","","","46573","",""
"","","","Breakers & Demolition Hammers","","","","","104216","",""
"","","","Concrete Stamps, Forms & Mats","","","","","55804","",""
"","","","Concrete Vibrators","","","","","25248","",""
"","","+","Drills & Hammers","","","","","42294","",""
"","","+","Drywall Tools","","","","","73111","",""
"","","","Generators","","","","","106437","",""
"","","","Generator Parts & Accessories","","","","","42907","",""
"","","","Grinders","","","","","55811","",""
"","","+","Hand Tools","","","","","46576","",""
"","","","Heat Guns","","","","","109569","",""
"","","","Jobsite Heaters","","","","","63938","",""
"","","","Mortar & Concrete Mixers","","","","","50903","",""
"","","-","Pipe Tools","","","","","184042","",""
"","","","","Crimping & Press Tools","","","","184045","Renamed from [PEX Crimping Tools]",""
"","","","","Drain Cleaning Machines & Tools","","","","184043","Renamed from [Drain Cleaning Machines]",""
"","","","","Flaring Tools","","","","184044","",""
"","","","","Pipe Benders","","","","104220","",""
"","","","","Pipe Cutters","","","","184048","",""
"","","","","Pipe Threaders, Taps & Dies","","","","184049","",""
"","","","","Pipe Wrenches","","","","184050","",""
"","","","","Swaging Tools","","","","184051","",""
"","","","","Other Pipe Tools","","","","184052","",""
"","","","Powder Actuated Tools","","","","","71344","",""
"","","","Routers","","","","","46584","",""
"","","+","Sanders","","","","","32714","",""
"","","+","Saws","","","","","46585","",""
"","","+","Stationary Engines","","","","","58175","",""
"","","","Tool Batteries & Chargers","","","","","50896","",""
"","","","Tool Combo Kits","","","","","63918","",""
"","","","Tooling Storage & Cabinets","","","","","41953","",""
"","","","Transfer Switches","","","","","56995","",""
"","","","Walk-Behind Compactors","","","","","104215","",""
"","","","Walk-Behind Trenchers","","","","","61577","",""
"","","","Other Light Equipment & Tools","","","","","61574","",""
"","+","Material Handling","","","","","","26221","",""
"","+","Office","","","","","","25298","",""
"","+","Printing & Graphic Arts","","","","","","26238","",""
"","-","Restaurant & Food Service","","","","","","11874","",""
"","","+","Bar & Beverage Equipment","","","","","25362","",""
"","","+","Commercial Kitchen Equipment","","","","","25367","",""
"","","+","Food Trucks, Trailers & Carts","","","","","67145","",""
"","","-","Furniture, Signs & Décor","","","","","57093","",""
"","","","","Air Curtains","","","","258646","",""
"","","","","Display Food","","","","60096","Moved from [Food & Beverages-14308] Renamed from [Fake Food]",""
"","","","+","Restaurant Chairs & Seating","","","","258647","",""
"","","","","Restaurant Décor","","","","57098","",""
"","","","","Restaurant Doors","","","","258656","",""
"","","","","Restaurant Menu Boards","","","","166673","",""
"","","","","Restaurant Sign Holders","","","","166674","",""
"","","","","Restaurant Signs","","","","259011","",""
"","","","","Restaurant Tables","","","","11883","",""
"","","","","Restaurant Furniture Parts & Accessories","","","","258657","",""
"","","","","Other Restaurant Décor","","","","57096","",""
"","","+","Refrigeration Equipment","","","","","25375","",""
"","","+","Tabletop & Serving","","","","","25381","",""
"","","+","Tabletop Concession Machines","","","","","46589","",""
"","","+","Uniforms & Aprons","","","","","50935","",""
"","","+","Vending Machines & Dispensers","","","","","259270","",""
"","","","Bulk Food","","","","","55842","",""
"","","","Vintage Equipment","","","","","258830","",""
"","","","Wholesale Lots","","","","","106590","",""
"","","","Other Restaurant & Food Service","","","","","1271","",""
"","+","Retail & Services","","","","","","11890","",""
"","+","Test, Measurement & Inspection","","","","","","181939","",""
"","+","Websites & Businesses for Sale","","","","","","11759","",""
"","","Other Business & Industrial","","","","","","26261","",""
"-","Cameras & Photo","","","","","","","625","",""
"","-","Binoculars & Telescopes","","","","","","28179","",""
"","","","Binoculars & Monoculars","","","","","83880","",""
"","","","Binocular Cases & Accessories","","","","","162485","",""
"","","","Telescopes","","","","","74927","",""
"","","-","Telescope Parts & Accessories","","","","","74922","",""
"","","","","Telescope Adapters","","","","151236","",""
"","","","","Telescope Cases & Bags","","","","32943","",""
"","","","","Telescope Eyepieces & Lenses","","","","29954","",""
"","","","","Telescope Filters","","","","74923","",""
"","","","","Telescope Mirrors & Prisms","","","","74925","",""
"","","","","Telescope Mounts","","","","167938","",""
"","","","","Other Telescope Parts","","","","74926","Renamed from [Other Telescope Parts & Accs]",""
"","","","Other Binoculars & Telescopes","","","","","162044","",""
"","","Camcorders","","","","","","11724","",""
"","-","Camera, Drone & Photo Accessories","","","","","","15200","Renamed from [Camera & Photo Accessories]",""
"","","","Accessory Bundles","","","","","29994","",""
"","","","Batteries","","","","","162045","",""
"","","","Battery Grips","","","","","29967","",""
"","","","Cables & Adapters","","","","","155707","",""
"","","","Camcorder Tapes & Discs","","","","","67339","",""
"","","","Camera Drone Accessories","","","","","182969","Moved from [Cameras & Photo-625] Renamed from [Camera Drone Parts & Accs]",""
"","","","Camera & Camcorder Lights","","","","","43440","",""
"","","","Cases, Bags & Covers","","","","","107894","",""
"","","","Chargers & Cradles","","","","","162046","",""
"","","","Cleaning Equipment & Kits","","","","","162053","",""
"","","","LCD Hoods","","","","","50508","",""
"","","","Memory Cards","","","","","18871","",""
"","","","Memory Card Cases","","","","","50503","",""
"","","","Memory Card Readers & Adapters","","","","","43448","",""
"","","","Microphones","","","","","83857","",""
"","","+","Photo Albums & Storage","","","","","182075","",""
"","","","Remotes & Shutter Releases","","","","","64345","",""
"","","","Screen Protectors","","","","","167928","",""
"","","","Straps & Hand Grips","","","","","64343","",""
"","","","Underwater Cases & Housings","","","","","50506","",""
"","","","Viewfinders & Eyecups","","","","","167930","",""
"","","","Other Camera & Photo Accs","","","","","162480","",""
"","","Camera Drones","","","","","","179697","",""
"","","Camera Manuals & Guides","","","","","","4684","",""
"","","Digital Cameras","","","","","","31388","",""
"","","Digital Photo Frames","","","","","","150044","",""
"","+","Film Photography","","","","","","69323","",""
"","+","Flashes & Flash Accessories","","","","","","64353","",""
"","+","Lenses & Filters","","","","","","78997","",""
"","+","Lighting & Studio","","","","","","30078","",""
"","-","Replacement Parts & Tools","","","","","","182074","",""
"","","","Camcorder Parts","","","","","172513","",""
"","","","Digital Camera Parts","","","","","64352","",""
"","","","Film Camera Parts","","","","","30038","",""
"","","","Camera Drone Parts","","","","","260144","New Category",""
"","","","Camera Tools & Repair Kits","","","","","172514","",""
"","+","Tripods & Supports","","","","","","30090","",""
"","+","Video Production & Editing","","","","","","21162","",""
"","+","Vintage Movie & Photography","","","","","","3326","",""
"","","Mixed Lots","","","","","","45089","Renamed from [Wholesale Lots]",""
"","","Other Cameras & Photo","","","","","","27432","",""
"-","Cell Phones & Accessories","","","","","","","15032","",""
"","","Cell Phones & Smartphones","","","","","","9355","",""
"","","Smart Watches","","","","","","178893","",""
"","+","Smart Watch Accessories","","","","","","182064","",""
"","+","Cell Phone Accessories","","","","","","9394","",""
"","","Display Phones","","","","","","136699","",""
"","","PDAs","","","","","","38331","",""
"","","PDA Accessories","","","","","","175744","",""
"","-","Phone Cards & SIM Cards","","","","","","146492","",""
"","","","Phone & Data Cards","","","","","43308","",""
"","","","SIM Cards","","","","","29778","",""
"","","","SIM Card Accessories","","","","","146493","Renamed from [SIM Card Readers & Adapters]",""
"","","Cell Phone & Smartphone Parts","","","","","","43304","",""
"","","Ringtones, Logos & Software","","","","","","80087","All listings are being moved into [SIM Card Accessories - 146493].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","Vintage Cell Phones","","","","","","182073","",""
"","","Mixed Lots","","","","","","45065","",""
"","","Other Cell Phones & Accs","","","","","","42428","All listings are being moved into [Other Cell Phone Accessories - 42425].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"-","Clothing, Shoes & Accessories","","","","","","","11450","",""
"","-","Baby & Toddler Clothing","","","","","","3082","This Category is being retired.",""
"","","-","Boys' Clothing (Newborn-5T)","","","","","147317","This Category is being retired.",""
"","","","","Bottoms","","","","57793","The Category ID is being changed to [260020].","Please update your category ID accordingly."
"","","","","One-Pieces","","","","57784","The Category ID is being changed to [260022].","Please update your category ID accordingly."
"","","","","Outerwear","","","","147324","The Category ID is being changed to [260023].","Please update your category ID accordingly."
"","","","","Outfits & Sets","","","","147333","The Category ID is being changed to [260024].","Please update your category ID accordingly."
"","","","","Sleepwear","","","","147336","The Category ID is being changed to [260026].","Please update your category ID accordingly."
"","","","","Socks","","","","163220","All listings are being moved into [Socks & Tights - 260027].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Suits","","","","147337","The Category ID is being changed to [260028].","Please update your category ID accordingly."
"","","","","Sweaters","","","","147338","The Category ID is being changed to [260029].","Please update your category ID accordingly."
"","","","","Swimwear","","","","147339","The Category ID is being changed to [260030].","Please update your category ID accordingly."
"","","","","Tops & T-Shirts","","","","147340","The Category ID is being changed to [260031].","Please update your category ID accordingly."
"","","","","Underwear","","","","147341","The Category ID is being changed to [260032].","Please update your category ID accordingly."
"","","","","Mixed Items & Lots","","","","147342","All listings are being moved into [Mixed Lots - 260034].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Other Newborn-5T Boys Clothes","","","","147343","All listings are being moved into [Other Clothing, Shoes & Accessories - 312].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
